urgency,sku,product_name,category,current_stock,avg_daily_demand,demand_std,safety_stock,reorder_point,projected_stock,days_of_stock,lead_time_days,reorder_flag,reorder_qty,reason
✅ OK,DC-1047,Car Dash Cam 1080P HD,Automotive,70,1.03,3.9,11.11,14.21,62.77,67.8,3,0,0.0,"Stock sufficient. 68 days supply remaining. ROP=14, projected=63."
✅ OK,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,84,1.23,2.3,6.56,10.26,75.37,68.1,3,0,0.0,"Stock sufficient. 68 days supply remaining. ROP=10, projected=75."
✅ OK,DC-1134,Blackhead Remover Vacuum Pore Cleanser,Beauty_Health,29,0.4,5.66,22.79,25.19,26.2,72.5,6,0,0.0,"Stock sufficient. 72 days supply remaining. ROP=25, projected=26."
✅ OK,DC-1197,Cordless Electric Screwdriver Kit 3.6V,Tools,29,0.4,2.83,10.4,12.4,26.2,72.5,5,0,0.0,"Stock sufficient. 72 days supply remaining. ROP=12, projected=26."
✅ OK,DC-1108,Mechanical Keyboard Backlit Compact,Electronics,45,0.6,3.61,15.69,19.89,40.8,75.0,7,0,0.0,"Stock sufficient. 75 days supply remaining. ROP=20, projected=41."
✅ OK,DC-1063,Silicone Baking Mat Non-Stick Set,Kitchen & Home,82,1.07,3.21,10.56,14.83,74.53,76.9,4,0,0.0,"Stock sufficient. 77 days supply remaining. ROP=15, projected=75."
✅ OK,DC-1174,Compact Trekking Poles Adjustable,Outdoor,121,1.4,3.46,13.96,22.36,111.2,86.4,6,0,0.0,"Stock sufficient. 86 days supply remaining. ROP=22, projected=111."
✅ OK,DC-1066,Revolving Spice Rack Organizer 24 Slots,Kitchen & Home,105,1.17,2.74,7.8,11.3,96.83,90.0,3,0,0.0,"Stock sufficient. 90 days supply remaining. ROP=11, projected=97."
✅ OK,DC-1182,Precision Screwdriver Set 56pc Magnetic,Tools,101,1.1,3.94,11.22,14.52,93.3,91.8,3,0,0.0,"Stock sufficient. 92 days supply remaining. ROP=15, projected=93."
✅ OK,DC-1188,Cordless Hot Glue Gun 20W,Tools,81,0.87,2.31,10.05,16.12,74.93,93.4,7,0,0.0,"Stock sufficient. 93 days supply remaining. ROP=16, projected=75."
✅ OK,DC-1177,Cordless Hot Glue Gun 20W,Tools,89,0.93,2.51,10.11,15.71,82.47,95.4,6,0,0.0,"Stock sufficient. 95 days supply remaining. ROP=16, projected=82."
✅ OK,DC-1153,Camping Hammock Nylon Lightweight,Outdoor,122,1.27,1.82,7.32,14.92,113.13,96.3,6,0,0.0,"Stock sufficient. 96 days supply remaining. ROP=15, projected=113."
✅ OK,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,163,1.63,3.54,15.43,26.86,151.57,99.8,7,0,0.0,"Stock sufficient. 100 days supply remaining. ROP=27, projected=152."
✅ OK,DC-1076,RGB LED Strip Lights App Control 5m,General,75,0.73,3.36,12.36,16.02,69.87,102.3,5,0,0.0,"Stock sufficient. 102 days supply remaining. ROP=16, projected=70."
✅ OK,DC-1110,Portable SSD 500GB USB-C,Electronics,113,1.1,3.78,12.44,16.84,105.3,102.7,4,0,0.0,"Stock sufficient. 103 days supply remaining. ROP=17, projected=105."
✅ OK,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,137,1.3,2.59,8.52,13.72,127.9,105.4,4,0,0.0,"Stock sufficient. 105 days supply remaining. ROP=14, projected=128."
✅ OK,DC-1180,Precision Screwdriver Set 56pc Magnetic,Tools,68,0.63,3.7,16.11,20.54,63.57,107.4,7,0,0.0,"Stock sufficient. 107 days supply remaining. ROP=21, projected=64."
✅ OK,DC-1013,Zinc Picolinate 50mg Tablets,Health & Supplements,97,0.9,2.5,10.88,17.18,90.7,107.8,7,0,0.0,"Stock sufficient. 108 days supply remaining. ROP=17, projected=91."
✅ OK,DC-1074,Automatic Electric Wine Aerator Pourer,Kitchen & Home,83,0.77,3.06,12.33,16.93,77.63,108.2,6,0,0.0,"Stock sufficient. 108 days supply remaining. ROP=17, projected=78."
✅ OK,DC-1091,RGB LED Strip Lights App Control 5m,General,109,1.0,3.11,8.86,11.86,102.0,109.0,3,0,0.0,"Stock sufficient. 109 days supply remaining. ROP=12, projected=102."
✅ OK,DC-1093,Portable Bluetooth Speaker Waterproof,General,74,0.67,2.55,11.1,15.77,69.33,110.9,7,0,0.0,"Stock sufficient. 111 days supply remaining. ROP=16, projected=69."
✅ OK,DC-1100,Noise Cancelling Headphones Over-Ear,Electronics,136,1.2,2.19,8.06,14.06,127.6,113.3,5,0,0.0,"Stock sufficient. 113 days supply remaining. ROP=14, projected=128."
✅ OK,DC-1049,USB Car Charger Fast Charging 65W,Automotive,111,0.97,2.59,9.52,14.36,104.23,114.8,5,0,0.0,"Stock sufficient. 115 days supply remaining. ROP=14, projected=104."
✅ OK,DC-1042,Windshield Sun Shade Foldable,Automotive,90,0.77,4.92,18.11,21.94,84.63,117.3,5,0,0.0,"Stock sufficient. 117 days supply remaining. ROP=22, projected=85."
✅ OK,DC-1121,Wireless Charging Pad 15W Fast,Electronics,88,0.73,4.62,15.2,18.13,82.87,120.1,4,0,0.0,"Stock sufficient. 120 days supply remaining. ROP=18, projected=83."
✅ OK,DC-1058,Electric Kettle 1.7L Cordless Glass,Kitchen & Home,166,1.37,2.4,10.45,20.02,156.43,121.4,7,0,0.0,"Stock sufficient. 121 days supply remaining. ROP=20, projected=156."
✅ OK,DC-1081,Mini Projector Portable 1080P,General,156,1.23,3.13,8.92,12.62,147.37,126.5,3,0,0.0,"Stock sufficient. 126 days supply remaining. ROP=13, projected=147."
✅ OK,DC-1070,Bamboo Cutting Board Set 3pcs,Kitchen & Home,153,1.2,3.03,9.98,14.78,144.6,127.5,4,0,0.0,"Stock sufficient. 128 days supply remaining. ROP=15, projected=145."
✅ OK,DC-1050,Electric Kettle 1.7L Cordless Glass,Kitchen & Home,151,1.13,2.28,9.92,17.85,143.07,133.3,7,0,0.0,"Stock sufficient. 133 days supply remaining. ROP=18, projected=143."
✅ OK,DC-1159,Compact Trekking Poles Adjustable,Outdoor,196,1.47,2.66,11.57,21.84,185.73,133.6,7,0,0.0,"Stock sufficient. 134 days supply remaining. ROP=22, projected=186."
✅ OK,DC-1096,Smart Plug WiFi Energy Monitor,General,36,0.27,1.53,6.65,8.52,34.13,134.8,7,0,0.0,"Stock sufficient. 135 days supply remaining. ROP=9, projected=34."
✅ OK,DC-1032,Windshield Sun Shade Foldable,Automotive,88,0.63,3.3,13.31,17.11,83.57,139.0,6,0,0.0,"Stock sufficient. 139 days supply remaining. ROP=17, projected=84."
✅ OK,DC-1079,Smart Plug WiFi Energy Monitor,General,117,0.83,3.1,11.39,15.56,111.17,140.5,5,0,0.0,"Stock sufficient. 140 days supply remaining. ROP=16, projected=111."
✅ OK,DC-1029,USB Car Charger Fast Charging 65W,Automotive,143,1.0,1.55,5.7,10.7,136.0,143.0,5,0,0.0,"Stock sufficient. 143 days supply remaining. ROP=11, projected=136."
✅ OK,DC-1022,Ashwagandha Root Extract 600mg,Health & Supplements,168,1.17,3.38,12.43,18.26,159.83,144.0,5,0,0.0,"Stock sufficient. 144 days supply remaining. ROP=18, projected=160."
✅ OK,DC-1156,Waterproof Hiking Backpack 40L,Outdoor,144,1.0,3.35,14.57,21.57,137.0,144.0,7,0,0.0,"Stock sufficient. 144 days supply remaining. ROP=22, projected=137."
✅ OK,DC-1099,Cable Management Box Organizer,General,248,1.7,3.0,9.87,16.67,236.1,145.9,4,0,0.0,"Stock sufficient. 146 days supply remaining. ROP=17, projected=236."
✅ OK,DC-1175,Magnetic Wristband Tool Holder,Tools,127,0.87,2.69,11.71,17.78,120.93,146.5,7,0,0.0,"Stock sufficient. 146 days supply remaining. ROP=18, projected=121."
✅ OK,DC-1152,Outdoor Survival Multi-Tool Kit,Outdoor,215,1.43,2.61,9.6,16.76,204.97,150.0,5,0,0.0,"Stock sufficient. 150 days supply remaining. ROP=17, projected=205."
✅ OK,DC-1105,Webcam HD 1080P Auto Focus,Electronics,141,0.93,3.78,13.91,18.58,134.47,151.1,5,0,0.0,"Stock sufficient. 151 days supply remaining. ROP=19, projected=134."
✅ OK,DC-1059,Automatic Electric Wine Aerator Pourer,Kitchen & Home,83,0.53,3.51,15.28,19.01,79.27,155.7,7,0,0.0,"Stock sufficient. 156 days supply remaining. ROP=19, projected=79."
✅ OK,DC-1195,Mini Soldering Iron Kit 60W Adjustable,Tools,209,1.3,2.51,8.25,13.45,199.9,160.8,4,0,0.0,"Stock sufficient. 161 days supply remaining. ROP=13, projected=200."
✅ OK,DC-1102,Smart Watch Fitness Tracker HR,Electronics,189,1.17,2.83,8.06,11.56,180.83,162.0,3,0,0.0,"Stock sufficient. 162 days supply remaining. ROP=12, projected=181."
✅ OK,DC-1113,Webcam HD 1080P Auto Focus,Electronics,11,0.07,0.0,0.0,0.34,10.53,164.2,5,0,0.0,"Stock sufficient. 164 days supply remaining. ROP=0, projected=11."
✅ OK,DC-1107,Webcam HD 1080P Auto Focus,Electronics,187,1.13,1.92,7.08,12.74,179.07,165.0,5,0,0.0,"Stock sufficient. 165 days supply remaining. ROP=13, projected=179."
✅ OK,DC-1136,Blackhead Remover Vacuum Pore Cleanser,Beauty_Health,176,1.03,2.28,7.5,11.63,168.77,170.4,4,0,0.0,"Stock sufficient. 170 days supply remaining. ROP=12, projected=169."
✅ OK,DC-1109,Portable SSD 500GB USB-C,Electronics,148,0.87,2.59,7.38,9.98,141.93,170.7,3,0,0.0,"Stock sufficient. 171 days supply remaining. ROP=10, projected=142."
✅ OK,DC-1048,Car Seat Back Organizer,Automotive,103,0.6,4.36,18.97,23.17,98.8,171.7,7,0,0.0,"Stock sufficient. 172 days supply remaining. ROP=23, projected=99."
✅ OK,DC-1171,Foldable Camping Chair Portable,Outdoor,121,0.7,2.36,6.73,8.83,116.1,172.9,3,0,0.0,"Stock sufficient. 173 days supply remaining. ROP=9, projected=116."
✅ OK,DC-1043,Portable Electric Air Pump 12V,Automotive,156,0.9,3.2,13.93,20.23,149.7,173.3,7,0,0.0,"Stock sufficient. 173 days supply remaining. ROP=20, projected=150."
✅ OK,DC-1089,Mini Projector Portable 1080P,General,88,0.5,3.2,10.53,12.53,84.5,176.0,4,0,0.0,"Stock sufficient. 176 days supply remaining. ROP=13, projected=84."
✅ OK,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,194,1.1,3.2,9.12,12.42,186.3,176.4,3,0,0.0,"Stock sufficient. 176 days supply remaining. ROP=12, projected=186."
✅ OK,DC-1194,Cordless Hot Glue Gun 20W,Tools,124,0.7,3.39,14.76,19.66,119.1,177.1,7,0,0.0,"Stock sufficient. 177 days supply remaining. ROP=20, projected=119."
✅ OK,DC-1045,Car Seat Back Organizer,Automotive,107,0.6,2.89,9.5,11.9,102.8,178.3,4,0,0.0,"Stock sufficient. 178 days supply remaining. ROP=12, projected=103."
✅ OK,DC-1178,Magnetic Wristband Tool Holder,Tools,220,1.23,2.99,12.07,19.47,211.37,178.4,6,0,0.0,"Stock sufficient. 178 days supply remaining. ROP=19, projected=211."
✅ OK,DC-1158,Foldable Camping Chair Portable,Outdoor,191,1.07,2.7,9.94,15.27,183.53,179.0,5,0,0.0,"Stock sufficient. 179 days supply remaining. ROP=15, projected=184."
✅ OK,DC-1168,LED Headlamp Rechargeable 1000LM,Outdoor,194,1.07,2.5,10.09,16.49,186.53,181.8,6,0,0.0,"Stock sufficient. 182 days supply remaining. ROP=16, projected=187."
✅ OK,DC-1098,Wireless Earbuds Noise Cancelling,General,181,0.97,2.19,9.54,16.31,174.23,187.2,7,0,0.0,"Stock sufficient. 187 days supply remaining. ROP=16, projected=174."
✅ OK,DC-1167,Compact Trekking Poles Adjustable,Outdoor,151,0.8,3.63,15.81,21.41,145.4,188.8,7,0,0.0,"Stock sufficient. 189 days supply remaining. ROP=21, projected=145."
✅ OK,DC-1084,Portable Bluetooth Speaker Waterproof,General,98,0.5,2.0,8.06,11.06,94.5,196.0,6,0,0.0,"Stock sufficient. 196 days supply remaining. ROP=11, projected=94."
✅ OK,DC-1160,Portable Water Filter Straw,Outdoor,118,0.6,2.89,11.63,15.23,113.8,196.7,6,0,0.0,"Stock sufficient. 197 days supply remaining. ROP=15, projected=114."
✅ OK,DC-1087,RGB LED Strip Lights App Control 5m,General,212,1.07,3.83,14.09,19.42,204.53,198.7,5,0,0.0,"Stock sufficient. 199 days supply remaining. ROP=19, projected=205."
✅ OK,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,186,0.93,2.45,6.98,9.78,179.47,199.4,3,0,0.0,"Stock sufficient. 199 days supply remaining. ROP=10, projected=179."
✅ OK,DC-1020,Probiotic 50 Billion CFU Capsules,Health & Supplements,170,0.83,3.39,11.16,14.49,164.17,204.1,4,0,0.0,"Stock sufficient. 204 days supply remaining. ROP=14, projected=164."
✅ OK,DC-1131,IPL Hair Removal Device Permanent,Beauty_Health,300,1.47,3.08,11.32,18.66,289.73,204.5,5,0,0.0,"Stock sufficient. 204 days supply remaining. ROP=19, projected=290."
✅ OK,DC-1186,Mini Soldering Iron Kit 60W Adjustable,Tools,130,0.63,1.64,5.41,7.94,125.57,205.4,4,0,0.0,"Stock sufficient. 205 days supply remaining. ROP=8, projected=126."
✅ OK,DC-1053,Stainless Steel Salad Bowl Set,Kitchen & Home,247,1.2,3.48,12.82,18.82,238.6,205.8,5,0,0.0,"Stock sufficient. 206 days supply remaining. ROP=19, projected=239."
✅ OK,DC-1101,Digital Drawing Tablet 10inch,Electronics,242,1.17,1.58,5.82,11.66,233.83,207.4,5,0,0.0,"Stock sufficient. 207 days supply remaining. ROP=12, projected=234."
✅ OK,DC-1181,Wire Stripper Crimping Tool Set,Tools,84,0.4,2.16,7.11,8.71,81.2,210.0,4,0,0.0,"Stock sufficient. 210 days supply remaining. ROP=9, projected=81."
✅ OK,DC-1157,Outdoor Survival Multi-Tool Kit,Outdoor,177,0.83,2.48,10.81,16.64,171.17,212.5,7,0,0.0,"Stock sufficient. 212 days supply remaining. ROP=17, projected=171."
✅ OK,DC-1161,Solar Powered Lantern Collapsible,Outdoor,239,1.1,2.35,7.72,12.12,231.3,217.3,4,0,0.0,"Stock sufficient. 217 days supply remaining. ROP=12, projected=231."
✅ OK,DC-1164,Portable Water Filter Straw,Outdoor,174,0.8,3.35,11.01,14.21,168.4,217.5,4,0,0.0,"Stock sufficient. 218 days supply remaining. ROP=14, projected=168."
✅ OK,DC-1183,Precision Screwdriver Set 56pc Magnetic,Tools,171,0.77,2.75,10.13,13.96,165.63,222.9,5,0,0.0,"Stock sufficient. 223 days supply remaining. ROP=14, projected=166."
✅ OK,DC-1040,Car Phone Mount Magnetic,Automotive,172,0.77,3.1,8.82,11.12,166.63,224.3,3,0,0.0,"Stock sufficient. 224 days supply remaining. ROP=11, projected=167."
✅ OK,DC-1145,IPL Hair Removal Device Permanent,Beauty_Health,144,0.63,3.51,10.01,11.91,139.57,227.5,3,0,0.0,"Stock sufficient. 228 days supply remaining. ROP=12, projected=140."
✅ OK,DC-1069,Bamboo Cutting Board Set 3pcs,Kitchen & Home,282,1.23,2.81,11.33,18.73,273.37,228.7,6,0,0.0,"Stock sufficient. 229 days supply remaining. ROP=19, projected=273."
✅ OK,DC-1052,Vacuum Food Sealer Machine,Kitchen & Home,297,1.27,3.83,10.91,14.71,288.13,234.4,3,0,0.0,"Stock sufficient. 234 days supply remaining. ROP=15, projected=288."
✅ OK,DC-1166,Waterproof Hiking Backpack 40L,Outdoor,219,0.93,3.93,11.21,14.01,212.47,234.7,3,0,0.0,"Stock sufficient. 235 days supply remaining. ROP=14, projected=212."
✅ OK,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,190,0.8,2.28,9.92,15.52,184.4,237.5,7,0,0.0,"Stock sufficient. 238 days supply remaining. ROP=16, projected=184."
✅ OK,DC-1173,Solar Powered Lantern Collapsible,Outdoor,220,0.9,3.44,14.95,21.25,213.7,244.4,7,0,0.0,"Stock sufficient. 244 days supply remaining. ROP=21, projected=214."
✅ OK,DC-1015,Ashwagandha Root Extract 600mg,Health & Supplements,253,1.03,2.99,8.53,11.63,245.77,244.9,3,0,0.0,"Stock sufficient. 245 days supply remaining. ROP=12, projected=246."
✅ OK,DC-1071,Vacuum Food Sealer Machine,Kitchen & Home,140,0.57,2.31,9.31,12.71,136.03,246.9,6,0,0.0,"Stock sufficient. 247 days supply remaining. ROP=13, projected=136."
✅ OK,DC-1140,IPL Hair Removal Device Permanent,Beauty_Health,223,0.9,3.44,12.64,17.14,216.7,247.8,5,0,0.0,"Stock sufficient. 248 days supply remaining. ROP=17, projected=217."
✅ OK,DC-1184,Laser Level Self-Leveling 3-Line,Tools,242,0.97,2.22,9.65,16.42,235.23,250.3,7,0,0.0,"Stock sufficient. 250 days supply remaining. ROP=16, projected=235."
✅ OK,DC-1104,Wireless Charging Pad 15W Fast,Electronics,111,0.43,4.93,21.47,24.5,107.97,256.4,7,0,0.0,"Stock sufficient. 256 days supply remaining. ROP=24, projected=108."
✅ OK,DC-1190,Mini Soldering Iron Kit 60W Adjustable,Tools,190,0.73,3.42,13.76,18.16,184.87,259.2,6,0,0.0,"Stock sufficient. 259 days supply remaining. ROP=18, projected=185."
✅ OK,DC-1147,LED Vanity Mirror Lighted 10x,Beauty_Health,194,0.73,2.66,10.71,15.11,188.87,264.7,6,0,0.0,"Stock sufficient. 265 days supply remaining. ROP=15, projected=189."
✅ OK,DC-1132,Jade Gua Sha Facial Tool Set,Beauty_Health,276,1.03,3.25,9.26,12.36,268.77,267.2,3,0,0.0,"Stock sufficient. 267 days supply remaining. ROP=12, projected=269."
✅ OK,DC-1192,Cordless Hot Glue Gun 20W,Tools,146,0.53,2.08,5.93,7.53,142.27,273.9,3,0,0.0,"Stock sufficient. 274 days supply remaining. ROP=8, projected=142."
✅ OK,DC-1027,Car Seat Back Organizer,Automotive,123,0.43,3.51,15.28,18.31,119.97,284.1,7,0,0.0,"Stock sufficient. 284 days supply remaining. ROP=18, projected=120."
✅ OK,DC-1118,Noise Cancelling Headphones Over-Ear,Electronics,289,1.0,3.7,13.6,18.6,282.0,289.0,5,0,0.0,"Stock sufficient. 289 days supply remaining. ROP=19, projected=282."
✅ OK,DC-1196,Precision Screwdriver Set 56pc Magnetic,Tools,244,0.83,4.64,18.68,23.68,238.17,292.9,6,0,0.0,"Stock sufficient. 293 days supply remaining. ROP=24, projected=238."
✅ OK,DC-1176,Laser Level Self-Leveling 3-Line,Tools,227,0.77,3.21,13.99,19.36,221.63,296.0,7,0,0.0,"Stock sufficient. 296 days supply remaining. ROP=19, projected=222."
✅ OK,DC-1163,LED Headlamp Rechargeable 1000LM,Outdoor,208,0.7,2.88,12.54,17.44,203.1,297.1,7,0,0.0,"Stock sufficient. 297 days supply remaining. ROP=17, projected=203."
✅ OK,DC-1170,Camping Hammock Nylon Lightweight,Outdoor,292,0.97,3.35,11.01,14.88,285.23,302.0,4,0,0.0,"Stock sufficient. 302 days supply remaining. ROP=15, projected=285."
✅ OK,DC-1138,Electric Face Cleansing Brush Sonic,Beauty_Health,161,0.53,3.51,12.92,15.58,157.27,302.1,5,0,0.0,"Stock sufficient. 302 days supply remaining. ROP=16, projected=157."
✅ OK,DC-1046,Windshield Sun Shade Foldable,Automotive,203,0.67,2.94,10.83,14.16,198.33,304.3,5,0,0.0,"Stock sufficient. 304 days supply remaining. ROP=14, projected=198."
✅ OK,DC-1075,RGB LED Strip Lights App Control 5m,General,257,0.83,2.08,5.93,8.43,251.17,308.5,3,0,0.0,"Stock sufficient. 308 days supply remaining. ROP=8, projected=251."
✅ OK,DC-1128,IPL Hair Removal Device Permanent,Beauty_Health,242,0.77,3.58,11.77,14.84,236.63,315.5,4,0,0.0,"Stock sufficient. 316 days supply remaining. ROP=15, projected=237."
✅ OK,DC-1198,Cordless Hot Glue Gun 20W,Tools,318,1.0,3.22,12.99,18.99,311.0,318.0,6,0,0.0,"Stock sufficient. 318 days supply remaining. ROP=19, projected=311."
